repository,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,name,full_name,stars,language,created_at,updated_at,open_issues,html_url
APIJSON,0.0,0.0,0.0,412,665,253,412,4893,87,0,2028,81590,30.54150214,-16.0,-16.0,1551,357,1020,14,46,471,1547,3,0,0,553,268,246,154,64,89,195,0,1327,13844,1384,144,1397,82,422,3935,935,2727,1029,1962,82,3,5,6,3989,9320,0,APIJSON,Tencent/APIJSON,18178,Java,2016-11-21T12:03:29Z,2025-09-10T19:06:59Z,234,https://github.com/Tencent/APIJSON
ARouter,0.0,0.0,0.0,362,566,204,362,751,138,6,859,1710,18.24929079,-4.0,-4.0,372,68,261,36,23,52,337,1,0,22,218,111,67,96,1,54,85,0,192,3165,206,28,87,30,62,569,110,483,159,425,79,20,1,0,3200,2176,61,ARouter,alibaba/ARouter,14493,Java,2016-12-14T01:27:49Z,2025-09-10T18:12:34Z,136,https://github.com/alibaba/ARouter
AVLoadingIndicatorView,0.0,0.0,0.0,328,424,96,328,276,164,29,617,621,15.24386489,0.0,0.0,185,0,160,10,11,4,175,2,0,2,83,17,15,41,1,26,19,0,11,2161,51,40,32,1,39,36,692,436,332,362,33,55,2,0,1857,1044,0,AVLoadingIndicatorView,HarlonWang/AVLoadingIndicatorView,9772,Java,2015-10-24T20:18:33Z,2025-09-08T07:01:19Z,75,https://github.com/HarlonWang/AVLoadingIndicatorView
Aegis,0.0,0.0,0.0,3381,4760,1379,3381,4459,776,63,5977,10381,125.67682864,-10.0,-10.0,2254,270,1606,413,141,94,1852,11,4,3,882,180,96,761,12,13,390,0,1044,24021,1368,241,715,313,232,1290,3720,3632,360,3567,468,34,162,344,15391,18556,0,Aegis,beemdevelopment/Aegis,11097,Java,2016-08-15T19:10:31Z,2025-09-10T16:22:39Z,87,https://github.com/beemdevelopment/Aegis
AgentWeb,0.0,0.0,0.0,1382,1897,515,1382,2429,381,41,2328,4811,54.190066821,-9.0,-9.0,1150,161,729,157,120,144,996,18,18,3,518,132,82,403,16,17,127,0,419,11320,797,41,532,89,85,802,405,1556,242,1093,211,91,35,3,6624,7600,4,AgentWeb,Justson/AgentWeb,9352,Java,2017-05-12T07:45:56Z,2025-09-09T10:24:37Z,88,https://github.com/Justson/AgentWeb
Algorithms,0.0,0.0,0.0,1209,1685,476,1209,7150,488,9,3902,7499,152.52096382,-11.0,-11.0,2871,819,2017,683,32,139,2199,11,2,0,979,229,69,552,39,319,268,0,3419,32495,1861,1620,1550,4,741,1388,15099,9073,3215,6708,881,13,127,149,16370,10624,0,Algorithms,williamfiset/Algorithms,18206,Java,2017-03-18T02:50:46Z,2025-09-10T11:04:57Z,116,https://github.com/williamfiset/Algorithms
AndResGuard,0.0,0.0,0.0,233,356,123,233,1283,99,8,1048,1477,28.24981776,-5.0,-5.0,488,76,303,150,27,8,338,6,22,0,330,92,98,198,12,22,163,0,293,6506,311,126,281,64,173,747,633,1378,312,1053,92,2,18,0,3534,2240,0,AndResGuard,shwenzhang/AndResGuard,8623,Java,2015-10-11T11:48:06Z,2025-09-10T13:09:26Z,166,https://github.com/shwenzhang/AndResGuard
Android-CleanArchitecture,0.0,0.0,0.0,540,778,238,540,462,150,7,577,706,25.94766546,-5.0,-5.0,388,8,231,54,18,85,334,1,0,2,177,29,6,148,0,23,68,0,22,2260,102,4,43,7,14,75,45,267,12,301,35,9,16,4,2988,4323,0,Android-CleanArchitecture,android10/Android-CleanArchitecture,15567,Java,2014-08-19T14:09:26Z,2025-09-10T08:00:40Z,143,https://github.com/android10/Android-CleanArchitecture
Android-Debug-Database,0.0,0.0,0.0,253,333,80,253,514,78,0,530,537,13.78935391,-12.0,-12.0,247,34,183,43,2,19,204,2,0,0,141,95,83,58,0,0,105,0,83,2393,166,49,67,31,11,391,157,607,78,473,46,3,4,0,2010,2185,0,Android-Debug-Database,amitshekhariitbhu/Android-Debug-Database,8561,Java,2016-11-16T14:20:24Z,2025-09-10T23:35:19Z,80,https://github.com/amitshekhariitbhu/Android-Debug-Database
Android-ObservableScrollView,0.0,0.0,0.0,1680,2428,748,1680,2240,659,79,2714,2536,62.48270215,-5.0,-5.0,1164,27,751,191,189,33,973,10,4,0,549,82,25,476,12,36,99,0,222,12621,434,68,452,14,193,238,1130,2001,546,1589,236,145,42,0,10450,9529,0,Android-ObservableScrollView,ksoichiro/Android-ObservableScrollView,9653,Java,2014-11-08T14:45:20Z,2025-09-10T21:05:43Z,179,https://github.com/ksoichiro/Android-ObservableScrollView
